AgreementNumber,OS,Loan_ID_x,Prob,prob_bucket,Loan_ID_y,paid_flag,risk_segment
200708524,3379,200708524.0,0.0068800366,1.0,,0.0,high_risk
200711108,3379,200711108.0,0.004513843,1.0,,0.0,high_risk
200704896,3637,200704896.0,0.052604392,2.0,,0.0,medium_risk
200710444,3375,200710444.0,0.009789199,1.0,,0.0,high_risk
200744439,3165,200744439.0,0.0050403685,1.0,,0.0,high_risk
200776449,2948,,,-1.0,,0.0,no_risk
200736586,4576,200736586.0,0.0064967033,1.0,,0.0,high_risk
200700782,3373,,,-1.0,,0.0,no_risk
200742674,4744,200742674.0,0.0051229293,1.0,,0.0,high_risk
200710491,4549,200710491.0,0.09895845,2.0,200710491,1.0,medium_risk
200735658,3054,200735658.0,0.0064967033,1.0,,0.0,high_risk
200744354,3165,200744354.0,0.0050403685,1.0,,0.0,high_risk
200709998,3379,200709998.0,0.004567839,1.0,,0.0,high_risk
200746213,4196,200746213.0,0.016973458,1.0,,0.0,high_risk
200711165,3976,200711165.0,0.050603487,2.0,,0.0,medium_risk
200728958,3173,200728958.0,0.0050403685,1.0,,0.0,high_risk
200702031,3271,200702031.0,0.049462304,2.0,,0.0,medium_risk
200776650,2948,200776650.0,0.006836204,1.0,,0.0,high_risk
200691914,3036,200691914.0,0.056966156,2.0,,0.0,medium_risk
200672468,3263,200672468.0,0.0046445103,1.0,,0.0,high_risk
200731730,3368,200731730.0,0.006428526,1.0,,0.0,high_risk
200767377,2954,200767377.0,0.010214958,1.0,,0.0,high_risk
200711568,1155,200711568.0,0.056966156,2.0,,0.0,medium_risk
200707349,3377,200707349.0,0.06638463,2.0,,0.0,medium_risk
200775872,4718,200775872.0,0.005178472,1.0,,0.0,high_risk
200771307,2849,,,-1.0,,0.0,no_risk
200704459,3261,200704459.0,0.006766472,1.0,,0.0,high_risk
200702497,3264,200702497.0,0.0046445103,1.0,,0.0,high_risk
200703799,2360,200703799.0,0.052789018,2.0,,0.0,medium_risk
200708724,3377,200708724.0,0.004567839,1.0,,0.0,high_risk
200699622,3387,200699622.0,0.015105331,1.0,,0.0,high_risk
200687072,2946,200687072.0,0.014775165,1.0,,0.0,high_risk
200767178,2956,,,-1.0,,0.0,no_risk
200736094,3058,200736094.0,0.0064967033,1.0,,0.0,high_risk
200710421,3379,200710421.0,0.004567839,1.0,,0.0,high_risk
200757492,4426,200757492.0,0.006836204,1.0,,0.0,high_risk
200743364,3165,200743364.0,0.0050403685,1.0,,0.0,high_risk
200705576,3379,200705576.0,0.007383219,1.0,,0.0,high_risk
200741447,3163,200741447.0,0.0051229293,1.0,,0.0,high_risk
200686599,3165,200686599.0,0.0050403685,1.0,,0.0,high_risk
200776509,2948,200776509.0,0.006836204,1.0,,0.0,high_risk
200714670,3377,200714670.0,0.004567839,1.0,,0.0,high_risk
200741913,116,,,-1.0,,0.0,no_risk
200660363,3377,200660363.0,0.004567839,1.0,,0.0,high_risk
200695890,1022,200695890.0,0.056966156,2.0,,0.0,medium_risk
200708934,2140,200708934.0,0.056966156,2.0,,0.0,medium_risk
200777292,4426,200777292.0,0.19050178,3.0,,0.0,low_risk
200775378,2473,200775378.0,0.052789018,2.0,,0.0,medium_risk
200704281,4897,200704281.0,0.06956549,2.0,,0.0,medium_risk
200711226,3379,200711226.0,0.004567839,1.0,,0.0,high_risk
200743885,3165,200743885.0,0.071629286,2.0,200743885,1.0,medium_risk
